month_name,fiscal_year,gross_sales
September,2019,4496259.67
October,2019,5135902.35
November,2019,7522892.56
December,2019,4830404.73
January,2020,4740600.16
February,2020,3996227.77
March,2020,378770.97
April,2020,395035.35
May,2020,783813.42
June,2020,1695216.60
July,2020,2551159.16
August,2020,2786648.26
September,2020,12353509.79
October,2020,13218636.20
November,2020,20464999.10
December,2020,12944659.65
January,2021,12399392.98
February,2021,10129735.57
March,2021,12144061.25
April,2021,7311999.95
May,2021,12150225.01
June,2021,9824521.01
July,2021,12092346.32
August,2021,7178707.59
